date,spx_log_return,vix,realized_var
2015-01-05,-0.01844721353258727,19.920000076293945,0.00011977804879851371
2015-01-06,-0.00893325469070017,21.1200008392334,0.00012746228508833858
2015-01-07,0.011562735844876304,19.309999465942383,5.1292310191762267e-05
2015-01-08,0.01773016812715569,17.010000228881836,9.639747259341136e-05
2015-01-09,-0.008439322147078786,17.549999237060547,5.8386743978315796e-05
2015-01-12,-0.008126616843470486,19.600000381469727,6.212594211238345e-05
2015-01-13,-0.0025818854358163217,20.559999465942383,0.000206898066789797
2015-01-14,-0.00583002896797565,21.479999542236328,8.066270044980622e-05
2015-01-15,-0.009290903004567546,22.389999389648438,7.999310846577653e-05
2015-01-16,0.013334893186267299,20.950000762939453,9.390557932507125e-05
2015-01-20,0.001548752433400387,19.889999389648438,5.301419079508928e-05
2015-01-21,0.004720465022189361,18.850000381469727,6.0598863808536024e-05
2015-01-22,0.015154313070630327,16.399999618530273,0.000126060542073093
2015-01-23,-0.005506656279301935,16.65999984741211,1.319430824724417e-05
2015-01-26,0.0025651679986232745,15.520000457763672,2.3809291035201966e-05
2015-01-27,-0.013478287815857576,17.219999313354492,6.811418007667561e-05
2015-01-28,-0.01358750281102202,20.440000534057617,0.00014830439463143819
2015-01-29,0.00948951705826357,18.760000228881836,0.00011260504345691451
2015-01-30,-0.013077099006318498,20.969999313354492,8.015926673544935e-05
2015-02-02,0.012879170000215516,19.43000030517578,0.0001496226732266186
2015-02-03,0.014336238577453099,17.329999923706055,6.620076949325051e-05
2015-02-04,-0.0041647065724529616,18.329999923706055,2.7985563687847143e-05
2015-02-05,0.010238810710909235,16.850000381469727,3.4556392891422933e-05
2015-02-06,-0.00342402761187852,17.290000915527344,4.271152709861911e-05
2015-02-09,-0.004256239310481708,18.549999237060547,1.751767471582173e-05
2015-02-10,0.010618979554062366,17.229999542236328,4.205012754716681e-05
2015-02-11,-2.9034010158247172e-05,16.959999084472656,2.0280174889572065e-05
2015-02-12,0.009598295065916026,15.34000015258789,2.8707469493611453e-05
2015-02-13,0.004066459227779422,14.6899995803833,8.795412687409951e-06
2015-02-17,0.0015962996977983961,15.800000190734863,1.0862163429339527e-05
2015-02-18,-0.00031435862322874816,15.449999809265137,5.359021230677769e-06
2015-02-19,-0.0010626217157189283,15.289999961853027,1.0552555900891628e-05
2015-02-20,0.006107842721055837,14.300000190734863,5.191296065709612e-05
2015-02-23,-0.000303385211985694,14.5600004196167,4.039860444176363e-06
2015-02-24,0.002754972468831103,13.6899995803833,1.1780671158762358e-05
2015-02-25,-0.0007660169636026022,13.84000015258789,7.588624651221813e-06
2015-02-26,-0.00147711863025381,13.90999984741211,8.355159908053284e-06
2015-02-27,-0.0029606830486323707,13.34000015258789,6.5583131191607374e-06
2015-03-02,0.0061062381811330165,13.039999961853027,1.372018563049137e-05
2015-03-03,-0.004548872603817568,13.859999656677246,2.488069116763755e-05
2015-03-04,-0.004398161230154572,14.229999542236328,1.4300140982823496e-05
2015-03-05,0.001195365251036089,14.039999961853027,6.670605176618178e-06
2015-03-06,-0.014275356362467066,15.199999809265137,9.397442608917118e-05
2015-03-09,0.003936662357975969,15.0600004196167,1.0629400256184758e-05
2015-03-10,-0.017106820937141425,16.690000534057617,8.691353073566013e-05
2015-03-11,-0.001919520676484767,16.8700008392334,9.311532389069644e-06
2015-03-12,0.012522702206037068,15.420000076293945,5.477853446006422e-05
2015-03-13,-0.006093237090196838,16.0,4.682352760726995e-05
2015-03-16,0.013442909023855906,15.609999656677246,5.725428750771025e-05
2015-03-17,-0.0033256977077820026,15.65999984741211,2.0193576391374494e-05
2015-03-18,0.012085101501628708,13.970000267028809,0.00017284224950686887
2015-03-19,-0.004884489126950175,14.069999694824219,1.420573929132557e-05
2015-03-20,0.008972382193259682,13.020000457763672,4.545977469509899e-05
2015-03-23,-0.0017472566067133015,13.40999984741211,8.833158959463791e-06
2015-03-24,-0.006158345701590925,13.619999885559082,2.1287399930563518e-05
2015-03-25,-0.014665926527239062,15.4399995803833,0.00011042058912912071
2015-03-26,-0.0023803307374738966,15.800000190734863,3.998075252041066e-05
2015-03-27,0.0023657607295033602,15.069999694824219,8.29687216336377e-06
2015-03-30,0.012162382647149434,14.510000228881836,5.169419476660098e-05
2015-03-31,-0.008834686217530795,15.289999961853027,2.4225023621158336e-05
2015-04-01,-0.0039732542018475255,15.109999656677246,3.155655216622237e-05
2015-04-02,0.0035234523037141535,14.670000076293945,1.8656483435048204e-05
2015-04-06,0.006587072647165644,14.739999771118164,7.801847995726901e-05
2015-04-07,-0.002064032708587167,14.779999732971191,1.5625370017329155e-05
2015-04-08,0.0026789415573472003,13.979999542236328,1.4946763162646578e-05
2015-04-09,0.004447575873625805,13.09000015258789,3.0049026550464345e-05
2015-04-10,0.005189376899456221,12.579999923706055,1.010528200417999e-05
2015-04-13,-0.004591806820961145,13.9399995803833,1.9195150206218135e-05
2015-04-14,0.00162843225851382,13.670000076293945,1.9514583863889748e-05
2015-04-15,0.005134989044995592,12.84000015258789,1.6161499597226463e-05
2015-04-16,-0.0007787467579851993,12.600000381469727,1.0350481932715163e-05
2015-04-17,-0.01137570418905323,13.890000343322754,7.55418173181237e-05
2015-04-20,0.009192748586536723,13.300000190734863,3.234412900417846e-05
2015-04-21,-0.001481702504767951,13.25,1.9008965233489417e-05
2015-04-22,0.005074582853386292,12.710000038146973,2.9293208119778175e-05
2015-04-23,0.0023549408425523675,12.479999542236328,2.4204273624118308e-05
2015-04-24,0.0022502668247534868,12.289999961853027,5.3067646040207765e-06
2015-04-27,-0.004149913240734652,13.119999885559082,2.87005729235968e-05
2015-04-28,0.0027654044373465075,12.40999984741211,3.6395909155716436e-05
2015-04-29,-0.003747348127573222,13.390000343322754,2.1456928403840235e-05
2015-04-30,-0.010180553033248205,14.550000190734863,6.431741771942506e-05
2015-05-01,0.010863776563455257,12.699999809265137,3.624383322275878e-05
